ticker,date,timestamp,open,high,low,close,volume
SPY,2022-06-13,2022-06-13T08:00:00,382.07,384.5,381.15,381.21,38378
SPY,2022-06-13,2022-06-13T08:05:00,381.23,381.48,381.13,381.32,11419
SPY,2022-06-13,2022-06-13T08:10:00,381.47,381.52,380.72,380.72,16509
SPY,2022-06-13,2022-06-13T08:15:00,380.7,380.8,379.81,379.96,43776
SPY,2022-06-13,2022-06-13T08:20:00,380.21,380.32,379.95,380,23380
SPY,2022-06-13,2022-06-13T08:25:00,380.07,380.38,379.97,379.97,18734
SPY,2022-06-13,2022-06-13T08:30:00,380.03,380.92,379.99,380.88,17490
SPY,2022-06-13,2022-06-13T08:35:00,380.96,380.96,380.4,380.55,7116
SPY,2022-06-13,2022-06-13T08:40:00,380.75,381.27,380.5,380.98,9962
SPY,2022-06-13,2022-06-13T08:45:00,380.68,380.73,380.35,380.35,3674
SPY,2022-06-13,2022-06-13T08:50:00,380.51,380.62,380.11,380.31,6110
SPY,2022-06-13,2022-06-13T08:55:00,380.5,380.56,380.29,380.29,5433
SPY,2022-06-13,2022-06-13T09:00:00,380.06,380.7,380,380.7,6856
SPY,2022-06-13,2022-06-13T09:05:00,380.71,380.87,380.46,380.83,9828
SPY,2022-06-13,2022-06-13T09:10:00,380.8,380.8,380.51,380.6,6560
SPY,2022-06-13,2022-06-13T09:15:00,380.63,380.87,380.29,380.37,4017
SPY,2022-06-13,2022-06-13T09:20:00,380.84,381.25,380.75,380.75,12709
SPY,2022-06-13,2022-06-13T09:25:00,380.69,380.69,380.5,380.65,5797
SPY,2022-06-13,2022-06-13T09:30:00,380.62,380.73,380.4,380.54,30569
SPY,2022-06-13,2022-06-13T09:35:00,380.65,380.7,380.1,380.21,17833
SPY,2022-06-13,2022-06-13T09:40:00,380.39,380.64,379.97,380.15,96646
SPY,2022-06-13,2022-06-13T09:45:00,380.3,380.78,380.3,380.69,11182
SPY,2022-06-13,2022-06-13T09:50:00,380.7,380.71,380.37,380.37,22308
SPY,2022-06-13,2022-06-13T09:55:00,380.43,380.95,380.17,380.82,14012
SPY,2022-06-13,2022-06-13T10:00:00,380.86,381.05,380.64,380.69,5534
SPY,2022-06-13,2022-06-13T10:05:00,380.84,381.33,380.84,381.33,33938
SPY,2022-06-13,2022-06-13T10:10:00,381.34,381.66,381.3,381.54,35742
SPY,2022-06-13,2022-06-13T10:15:00,381.54,381.7,381,381.12,53304
SPY,2022-06-13,2022-06-13T10:20:00,381.08,381.33,380.88,381.05,7434
SPY,2022-06-13,2022-06-13T10:25:00,380.9,381.22,380.9,381.1,60882
SPY,2022-06-13,2022-06-13T10:30:00,381.08,381.74,380.94,381.74,37011
SPY,2022-06-13,2022-06-13T10:35:00,381.7,381.71,381.2,381.32,36694
SPY,2022-06-13,2022-06-13T10:40:00,381.31,381.75,381.31,381.75,13268
SPY,2022-06-13,2022-06-13T10:45:00,381.65,381.75,381.23,381.29,69717
SPY,2022-06-13,2022-06-13T10:50:00,381.4,381.75,381.2,381.74,34015
SPY,2022-06-13,2022-06-13T10:55:00,381.73,381.73,381.28,381.37,54067
SPY,2022-06-13,2022-06-13T11:00:00,381.43,382.07,381.38,382.01,131479
SPY,2022-06-13,2022-06-13T11:05:00,381.97,382.06,381.4,381.48,52846
SPY,2022-06-13,2022-06-13T11:10:00,381.46,381.46,381.06,381.28,56773
SPY,2022-06-13,2022-06-13T11:15:00,381.3,381.71,381.18,381.22,147963
SPY,2022-06-13,2022-06-13T11:20:00,381.18,381.28,380.8,380.8,41934
SPY,2022-06-13,2022-06-13T11:25:00,380.84,381.57,380.82,381.19,123533
SPY,2022-06-13,2022-06-13T11:30:00,381.2,381.54,380.73,380.84,74774
SPY,2022-06-13,2022-06-13T11:35:00,380.9,381.37,380.8,381.34,32609
SPY,2022-06-13,2022-06-13T11:40:00,381.22,381.22,380.5,380.5,100957
SPY,2022-06-13,2022-06-13T11:45:00,380.54,380.7,380.33,380.34,48716
SPY,2022-06-13,2022-06-13T11:50:00,380.36,380.55,380.17,380.46,62563
SPY,2022-06-13,2022-06-13T11:55:00,380.47,380.54,380.17,380.3,67905
SPY,2022-06-13,2022-06-13T12:00:00,380.28,385.44,379.9404,380.7,152804
SPY,2022-06-13,2022-06-13T12:05:00,380.59,380.95,380.37,380.77,171617
SPY,2022-06-13,2022-06-13T12:10:00,380.8,381.59,380.73,381.54,61767
SPY,2022-06-13,2022-06-13T12:15:00,381.59,381.85,381.17,381.55,75220
SPY,2022-06-13,2022-06-13T12:20:00,381.58,381.96,381.55,381.83,133295
SPY,2022-06-13,2022-06-13T12:25:00,381.84,381.92,381.5,381.7,78726
SPY,2022-06-13,2022-06-13T12:30:00,381.7,381.97,381.5,381.52,58093
SPY,2022-06-13,2022-06-13T12:35:00,381.48,381.56,381.11,381.26,24696
SPY,2022-06-13,2022-06-13T12:40:00,381.38,381.56,380.93,381.16,52380
SPY,2022-06-13,2022-06-13T12:45:00,381.035,381.28,380.74,380.95,33359
SPY,2022-06-13,2022-06-13T12:50:00,380.97,381.33,380.8,380.84,68946
SPY,2022-06-13,2022-06-13T12:55:00,380.85,381.09,380.54,380.58,45962
SPY,2022-06-13,2022-06-13T13:00:00,380.56,380.61,380.24,380.41,138213
SPY,2022-06-13,2022-06-13T13:05:00,380.43,380.73,380.28,380.49,48496
SPY,2022-06-13,2022-06-13T13:10:00,380.48,381,380.44,380.95,94277
SPY,2022-06-13,2022-06-13T13:15:00,380.96,381.08,380.59,380.6,90036
SPY,2022-06-13,2022-06-13T13:20:00,380.6,380.6,380.16,380.29,53694
SPY,2022-06-13,2022-06-13T13:25:00,380.19,380.39,379.86,379.86,253067
SPY,2022-06-13,2022-06-13T13:30:00,379.85,381.71,379.83,381.28,3765241.0
SPY,2022-06-13,2022-06-13T13:35:00,381.27,381.81,380.22,380.23,2392481.0
SPY,2022-06-13,2022-06-13T13:40:00,380.23,380.58,379.18,380.29,2256571.0
SPY,2022-06-13,2022-06-13T13:45:00,380.3,381.36,379.76,379.82,1809163.0
SPY,2022-06-13,2022-06-13T13:50:00,379.86,380.56,379.57,379.9,1601243.0
SPY,2022-06-13,2022-06-13T13:55:00,379.89,380.44,379.65,379.79,2011741.0
SPY,2022-06-13,2022-06-13T14:00:00,379.79,380.71,379.23,379.61,2115606.0
SPY,2022-06-13,2022-06-13T14:05:00,379.5699,380.5,379.3788,379.61,2451406.0
SPY,2022-06-13,2022-06-13T14:10:00,379.62,379.97,378.35,378.45,2411249.0
SPY,2022-06-13,2022-06-13T14:15:00,378.45,378.456,377.22,377.45,1913437.0
SPY,2022-06-13,2022-06-13T14:20:00,377.44,377.995,377.07,377.07,2341581.0
SPY,2022-06-13,2022-06-13T14:25:00,377.07,377.39,376.92,377.18,1441109.0
SPY,2022-06-13,2022-06-13T14:30:00,377.19,377.66,376.81,377.505,1806301.0
SPY,2022-06-13,2022-06-13T14:35:00,377.505,378.04,377.42,377.47,1341860.0
SPY,2022-06-13,2022-06-13T14:40:00,377.45,377.47,376.07,376.27,2098472.0
SPY,2022-06-13,2022-06-13T14:45:00,376.28,376.4,375.67,375.82,1792585.0
SPY,2022-06-13,2022-06-13T14:50:00,375.835,376.362,375.47,376.22,1950129.0
SPY,2022-06-13,2022-06-13T14:55:00,376.2299,376.61,375.99,376.12,1273571.0
