ticker,date,timestamp,open,high,low,close,volume
AAPL,2025-03-10,2025-03-10T08:00:00,237.49,238.08,237.09,237.57,3909
AAPL,2025-03-10,2025-03-10T08:05:00,237.23,237.48,237.16,237.41,5930
AAPL,2025-03-10,2025-03-10T08:10:00,237.36,237.48,237.36,237.45,2437
AAPL,2025-03-10,2025-03-10T08:15:00,237.31,237.36,237.19,237.22,4261
AAPL,2025-03-10,2025-03-10T08:20:00,237.26,237.26,237.26,237.26,211
AAPL,2025-03-10,2025-03-10T08:25:00,237.4,237.53,236.63,236.94,19032
AAPL,2025-03-10,2025-03-10T08:30:00,236.97,237,236.96,236.99,4154
AAPL,2025-03-10,2025-03-10T08:35:00,236.8,236.85,236.8,236.85,1865
AAPL,2025-03-10,2025-03-10T08:40:00,236.85,236.85,236.51,236.51,3772
AAPL,2025-03-10,2025-03-10T08:45:00,236.42,236.7,236.34,236.34,3552
AAPL,2025-03-10,2025-03-10T08:50:00,236.48,236.5,236.03,236.2,10397
AAPL,2025-03-10,2025-03-10T08:55:00,236.12,236.12,236,236,2314
AAPL,2025-03-10,2025-03-10T09:00:00,236.01,236.1,235.86,235.86,8943
AAPL,2025-03-10,2025-03-10T09:05:00,235.83,236,235.7,235.83,6217
AAPL,2025-03-10,2025-03-10T09:10:00,236,236.06,235.64,235.64,6524
AAPL,2025-03-10,2025-03-10T09:15:00,235.66,236.09,235.66,236.09,7304
AAPL,2025-03-10,2025-03-10T09:20:00,235.95,236,235.88,236,4926
AAPL,2025-03-10,2025-03-10T09:25:00,235.98,236.05,235.97,235.99,3527
AAPL,2025-03-10,2025-03-10T09:30:00,236,236.2,235.91,236.2,7210
AAPL,2025-03-10,2025-03-10T09:35:00,236.24,236.28,236.24,236.28,460
AAPL,2025-03-10,2025-03-10T09:40:00,236.2,236.2,236.1,236.2,4334
AAPL,2025-03-10,2025-03-10T09:45:00,236.2,236.36,236.2,236.28,5586
AAPL,2025-03-10,2025-03-10T09:50:00,236.26,236.26,235.81,235.81,4754
AAPL,2025-03-10,2025-03-10T09:55:00,235.98,236.15,235.98,236.15,2018
AAPL,2025-03-10,2025-03-10T10:00:00,236.19,236.19,235.95,236.05,3665
AAPL,2025-03-10,2025-03-10T10:05:00,236.19,236.19,235.75,235.75,9866
AAPL,2025-03-10,2025-03-10T10:10:00,235.72,235.72,235.65,235.65,2766
AAPL,2025-03-10,2025-03-10T10:15:00,235.71,235.71,235.71,235.71,135
AAPL,2025-03-10,2025-03-10T10:20:00,235.72,235.72,235.64,235.65,1363
AAPL,2025-03-10,2025-03-10T10:25:00,235.59,235.63,235.56,235.63,1722
AAPL,2025-03-10,2025-03-10T10:30:00,235.62,235.74,235.62,235.69,3185
AAPL,2025-03-10,2025-03-10T10:35:00,235.71,235.74,235.7,235.71,1857
AAPL,2025-03-10,2025-03-10T10:40:00,235.68,235.75,235.68,235.71,1580
AAPL,2025-03-10,2025-03-10T10:45:00,235.73,235.73,235.59,235.59,2975
AAPL,2025-03-10,2025-03-10T10:50:00,235.63,235.78,235.62,235.75,3474
AAPL,2025-03-10,2025-03-10T10:55:00,235.71,235.8,235.7,235.8,4327
AAPL,2025-03-10,2025-03-10T11:00:00,235.97,236.11,235.79,235.8,10358
AAPL,2025-03-10,2025-03-10T11:05:00,235.8,235.8,235.66,235.7,4044
AAPL,2025-03-10,2025-03-10T11:10:00,235.67,235.67,235.52,235.6,2083
AAPL,2025-03-10,2025-03-10T11:15:00,235.58,235.69,235.5,235.69,5420
AAPL,2025-03-10,2025-03-10T11:20:00,235.67,235.88,235.67,235.88,2903
AAPL,2025-03-10,2025-03-10T11:25:00,235.89,235.97,235.84,235.9,3923
AAPL,2025-03-10,2025-03-10T11:30:00,235.9,235.97,235.57,235.64,8585
AAPL,2025-03-10,2025-03-10T11:35:00,235.72,235.74,235.71,235.74,1969
AAPL,2025-03-10,2025-03-10T11:40:00,235.74,235.79,235.67,235.79,2923
AAPL,2025-03-10,2025-03-10T11:45:00,235.74,235.74,235.6,235.6,862
AAPL,2025-03-10,2025-03-10T11:50:00,235.54,235.54,235.4,235.42,4913
AAPL,2025-03-10,2025-03-10T11:55:00,235.42,235.42,235.25,235.42,2852
AAPL,2025-03-10,2025-03-10T12:00:00,236,238.473,235.3201,235.81,46565
AAPL,2025-03-10,2025-03-10T12:05:00,235.75,235.9,235.68,235.72,10725
AAPL,2025-03-10,2025-03-10T12:10:00,235.615,235.63,235.5,235.56,7108
AAPL,2025-03-10,2025-03-10T12:15:00,235.568,235.63,235.25,235.35,12267
AAPL,2025-03-10,2025-03-10T12:20:00,235.36,235.5523,235.2729,235.5523,21093
AAPL,2025-03-10,2025-03-10T12:25:00,235.4503,235.66,235.4,235.65,36563
AAPL,2025-03-10,2025-03-10T12:30:00,235.65,235.75,235.65,235.6815,15356
AAPL,2025-03-10,2025-03-10T12:35:00,235.7,235.92,235.65,235.84,23818
AAPL,2025-03-10,2025-03-10T12:40:00,235.84,235.95,235.69,235.95,6505
AAPL,2025-03-10,2025-03-10T12:45:00,235.8032,235.93,235.8032,235.8813,7421
AAPL,2025-03-10,2025-03-10T12:50:00,235.89,236.43,235.8801,236.43,155522
AAPL,2025-03-10,2025-03-10T12:55:00,236.43,236.78,236.2,236.42,20313
AAPL,2025-03-10,2025-03-10T13:00:00,236.5092,236.5092,236.06,236.16,16005
AAPL,2025-03-10,2025-03-10T13:05:00,236.28,236.28,236.02,236.14,9377
AAPL,2025-03-10,2025-03-10T13:10:00,236.17,236.4,236.16,236.17,14020
AAPL,2025-03-10,2025-03-10T13:15:00,236.17,236.3017,236,236.09,10188
AAPL,2025-03-10,2025-03-10T13:20:00,236,236.07,235.76,235.76,18163
AAPL,2025-03-10,2025-03-10T13:25:00,235.68,235.85,235,235.5,96821
AAPL,2025-03-10,2025-03-10T13:30:00,235.54,236.16,231.79,232.35,2983163.0
AAPL,2025-03-10,2025-03-10T13:35:00,232.31,233.04,231.37,231.98,1459380.0
AAPL,2025-03-10,2025-03-10T13:40:00,231.99,232,230.82,231.0075,1512686.0
AAPL,2025-03-10,2025-03-10T13:45:00,231.005,231.23,230.3201,230.59,1263041.0
AAPL,2025-03-10,2025-03-10T13:50:00,230.6,231.04,229.15,229.49,1424390.0
AAPL,2025-03-10,2025-03-10T13:55:00,229.5,230.39,229.5,230.19,1061313.0
AAPL,2025-03-10,2025-03-10T14:00:00,230.18,230.41,229.2,229.55,892115
AAPL,2025-03-10,2025-03-10T14:05:00,229.57,230.22,228.78,229.85,1099423.0
AAPL,2025-03-10,2025-03-10T14:10:00,229.87,230.13,229.65,229.74,736812
AAPL,2025-03-10,2025-03-10T14:15:00,229.72,230.04,229.23,229.31,615177
AAPL,2025-03-10,2025-03-10T14:20:00,229.32,229.46,228.65,229.09,798562
AAPL,2025-03-10,2025-03-10T14:25:00,229.09,229.25,228.52,228.57,612220
AAPL,2025-03-10,2025-03-10T14:30:00,228.57,229.5,228.46,229.245,956749
AAPL,2025-03-10,2025-03-10T14:35:00,229.245,229.47,228.75,228.76,894452
AAPL,2025-03-10,2025-03-10T14:40:00,228.78,228.84,228.01,228.135,933733
