ticker,date,timestamp,open,high,low,close,volume
GOOGL,2022-11-10,2022-11-10T12:25:00,87.67,87.67,87.62,87.62,1510
GOOGL,2022-11-10,2022-11-10T12:35:00,87.68,87.76,87.68,87.76,6490
GOOGL,2022-11-10,2022-11-10T12:40:00,87.76,87.76,87.76,87.76,1080
GOOGL,2022-11-10,2022-11-10T12:45:00,87.73,87.73,87.73,87.73,734
GOOGL,2022-11-10,2022-11-10T12:50:00,87.76,87.8,87.76,87.79,1454
GOOGL,2022-11-10,2022-11-10T12:55:00,87.78,87.87,87.77,87.87,4992
GOOGL,2022-11-10,2022-11-10T13:00:00,87.6601,87.99,87.102,87.102,18153
GOOGL,2022-11-10,2022-11-10T13:05:00,87.93,87.96,87.79,87.79,12212
GOOGL,2022-11-10,2022-11-10T13:10:00,87.84,87.9496,87.81,87.91,20751
GOOGL,2022-11-10,2022-11-10T13:15:00,87.882,87.882,87.75,87.85,7785
GOOGL,2022-11-10,2022-11-10T13:20:00,87.82,87.82,87.72,87.72,11893
GOOGL,2022-11-10,2022-11-10T13:25:00,87.78,87.7805,87.67,87.7805,11345
GOOGL,2022-11-10,2022-11-10T13:30:00,87.6,91.2854,87.53,91.08,322230
GOOGL,2022-11-10,2022-11-10T13:35:00,90.91,91.5,90.9,91.235,182464
GOOGL,2022-11-10,2022-11-10T13:40:00,91.22,92,91.1,91.36,158495
GOOGL,2022-11-10,2022-11-10T13:45:00,91.37,92.13,91.37,91.9769,227180
GOOGL,2022-11-10,2022-11-10T13:50:00,92,92.04,91.8378,91.93,198348
GOOGL,2022-11-10,2022-11-10T13:55:00,91.92,92.19,91.8908,92.05,111811
GOOGL,2022-11-10,2022-11-10T14:00:00,92.05,92.14,91.99,92,63920
GOOGL,2022-11-10,2022-11-10T14:05:00,92.03,92.15,92,92.1,71713
GOOGL,2022-11-10,2022-11-10T14:10:00,92.08,92.33,92.05,92.25,88891
GOOGL,2022-11-10,2022-11-10T14:15:00,92.25,92.41,92.06,92.38,96473
GOOGL,2022-11-10,2022-11-10T14:20:00,92.4,92.51,92.32,92.47,96174
GOOGL,2022-11-10,2022-11-10T14:25:00,92.45,92.7,92.11,92.31,177772
GOOGL,2022-11-10,2022-11-10T14:30:00,92.25,92.55,91.78,92.485,2978060.0
