ticker,date,timestamp,open,high,low,close,volume
AMZN,2023-10-25,2023-10-25T08:00:00,126.88,127.43,126.22,126.4,15181
AMZN,2023-10-25,2023-10-25T08:05:00,126.38,126.64,126.3,126.64,13075
AMZN,2023-10-25,2023-10-25T08:10:00,126.65,126.96,126.65,126.78,1599
AMZN,2023-10-25,2023-10-25T08:15:00,126.78,126.85,126.6,126.6,6405
AMZN,2023-10-25,2023-10-25T08:20:00,126.78,126.85,126.71,126.71,2319
AMZN,2023-10-25,2023-10-25T08:25:00,126.86,126.96,126.86,126.96,3605
AMZN,2023-10-25,2023-10-25T08:30:00,127.11,127.11,126.99,126.99,1887
AMZN,2023-10-25,2023-10-25T08:35:00,127.06,127.06,127.06,127.06,222
AMZN,2023-10-25,2023-10-25T08:40:00,126.9,126.9,126.9,126.9,1251
AMZN,2023-10-25,2023-10-25T08:45:00,127.01,127.01,126.97,126.97,2256
AMZN,2023-10-25,2023-10-25T08:50:00,126.89,126.89,126.83,126.83,5546
AMZN,2023-10-25,2023-10-25T08:55:00,126.81,126.81,126.72,126.72,1569
AMZN,2023-10-25,2023-10-25T09:00:00,126.74,126.74,126.74,126.74,2560
AMZN,2023-10-25,2023-10-25T09:05:00,126.76,126.76,126.7,126.7,2365
AMZN,2023-10-25,2023-10-25T09:10:00,126.83,126.83,126.83,126.83,200
AMZN,2023-10-25,2023-10-25T09:15:00,126.73,126.73,126.73,126.73,337
AMZN,2023-10-25,2023-10-25T09:20:00,126.73,126.73,126.66,126.66,9488
AMZN,2023-10-25,2023-10-25T09:25:00,126.7,126.84,126.7,126.84,406
AMZN,2023-10-25,2023-10-25T09:30:00,126.86,126.9,126.86,126.9,3122
AMZN,2023-10-25,2023-10-25T09:35:00,126.98,126.98,126.95,126.95,742
AMZN,2023-10-25,2023-10-25T09:40:00,126.93,126.95,126.85,126.85,2381
AMZN,2023-10-25,2023-10-25T09:45:00,126.89,126.89,126.8,126.8,1929
AMZN,2023-10-25,2023-10-25T09:55:00,126.85,126.9,126.83,126.83,2248
AMZN,2023-10-25,2023-10-25T10:00:00,126.9,126.9,126.83,126.89,706
AMZN,2023-10-25,2023-10-25T10:05:00,126.85,126.85,126.62,126.62,3336
AMZN,2023-10-25,2023-10-25T10:15:00,126.7,126.88,126.7,126.88,2025
AMZN,2023-10-25,2023-10-25T10:25:00,126.79,126.79,126.41,126.41,19285
AMZN,2023-10-25,2023-10-25T10:30:00,126.4,126.5,126.4,126.5,1571
AMZN,2023-10-25,2023-10-25T10:35:00,126.5,126.5,126.49,126.5,5851
AMZN,2023-10-25,2023-10-25T10:40:00,126.5,126.5,126.44,126.49,6818
AMZN,2023-10-25,2023-10-25T10:45:00,126.49,126.5,126.49,126.5,14716
AMZN,2023-10-25,2023-10-25T10:50:00,126.68,126.86,126.52,126.68,6062
AMZN,2023-10-25,2023-10-25T10:55:00,126.73,126.85,126.73,126.85,1620
AMZN,2023-10-25,2023-10-25T11:00:00,126.78,127.19,126.75,127.19,21796
AMZN,2023-10-25,2023-10-25T11:05:00,127.1,127.2,126.99,127.1,8966
AMZN,2023-10-25,2023-10-25T11:10:00,127.1,127.19,126.98,127,10980
AMZN,2023-10-25,2023-10-25T11:15:00,127.1,127.16,126.91,126.91,11154
AMZN,2023-10-25,2023-10-25T11:20:00,126.9,127,126.85,127,11050
AMZN,2023-10-25,2023-10-25T11:25:00,127.13,127.13,127,127.05,4657
AMZN,2023-10-25,2023-10-25T11:30:00,127.1,127.19,127.05,127.19,9964
AMZN,2023-10-25,2023-10-25T11:35:00,127.2,127.31,127.11,127.25,10935
AMZN,2023-10-25,2023-10-25T11:40:00,127.25,127.25,127.09,127.09,19133
AMZN,2023-10-25,2023-10-25T11:45:00,127.09,127.28,127.09,127.25,5987
AMZN,2023-10-25,2023-10-25T11:50:00,127.25,127.33,127.18,127.2,10801
AMZN,2023-10-25,2023-10-25T11:55:00,127.16,127.2,127.12,127.2,11039
AMZN,2023-10-25,2023-10-25T12:00:00,126.98,127.57,126.81,127.3,79185
AMZN,2023-10-25,2023-10-25T12:05:00,127.34,127.35,127.25,127.3,9934
AMZN,2023-10-25,2023-10-25T12:10:00,127.3,127.44,127.25,127.44,28977
AMZN,2023-10-25,2023-10-25T12:15:00,127.37,127.38,127.25,127.37,18540
AMZN,2023-10-25,2023-10-25T12:20:00,127.4,127.52,127.4,127.47,15020
AMZN,2023-10-25,2023-10-25T12:25:00,127.41,127.4381,127.2,127.2,20667
AMZN,2023-10-25,2023-10-25T12:30:00,127.21,127.44,127.15,127.22,19584
AMZN,2023-10-25,2023-10-25T12:35:00,127.23,127.27,127.01,127.11,21924
